state;action_reward;n_state
1651&0|10133&1|6542&1|14023&0|10133&1|10133&1|9527&0|16362&0|10133&1|10133&1;18450&1|14480&1|12368&1;1651&0|10133&1|6542&1|14023&0|10133&1|10133&1|9527&0|16362&0|10133&1|10133&1|18450&1|14480&1|12368&1
5639&1|3487&0|1908&0|1211&0|16398&0|14771&1|16398&1|500&0|3487&1|1908&1;14771&1|14771&0|18118&0;5639&1|3487&0|1908&0|1211&0|16398&0|14771&1|16398&1|500&0|3487&1|1908&1|14771&1|14771&0|18118&0
9292&1|16103&1|7977&1|49&1|1927&1|4400&1|19713&1|9333&0|19713&1|7052&1;19713&1|4400&0|4400&0;9292&1|16103&1|7977&1|49&1|1927&1|4400&1|19713&1|9333&0|19713&1|7052&1|19713&1|4400&0|4400&0
15115&0|8835&0|10300&0|3110&1|1596&0|7496&0|15747&0|7496&0|15747&0|10300&0;19957&0|12484&0|7149&0;15115&0|8835&0|10300&0|3110&1|1596&0|7496&0|15747&0|7496&0|15747&0|10300&0|19957&0|12484&0|7149&0
14005&0|4312&0|15216&0|2720&0|11762&0|12493&0|12604&0|5762&0|19132&1|12604&0;2631&0|2285&0|960&0;14005&0|4312&0|15216&0|2720&0|11762&0|12493&0|12604&0|5762&0|19132&1|12604&0|2631&0|2285&0|960&0
8039&0|19817&0|7842&0|18145&0|12774&0|12774&0|18185&0|18185&0|11555&0|14842&0;12774&0|12774&1|10581&0;8039&0|19817&0|7842&0|18145&0|12774&0|12774&0|18185&0|18185&0|11555&0|14842&0|12774&0|12774&1|10581&0
2316&1|3871&1|9120&1|2058&1|11629&1|431&1|1431&1|447&1|7326&1|611&1;14337&1|20721&1|4276&1;2316&1|3871&1|9120&1|2058&1|11629&1|431&1|1431&1|447&1|7326&1|611&1|14337&1|20721&1|4276&1
10169&0|2415&0|17304&0|17088&1|16848&0|19165&0|9750&1|2790&1|7766&0|15216&1;163&0|163&0|4457&1;10169&0|2415&0|17304&0|17088&1|16848&0|19165&0|9750&1|2790&1|7766&0|15216&1|163&0|163&0|4457&1
19010&0|19934&1|12659&1|18829&0|15091&0|10748&1|8747&1|13480&0|19934&0|19872&1;1341&1|15181&1|9634&1;19010&0|19934&1|12659&1|18829&0|15091&0|10748&1|8747&1|13480&0|19934&0|19872&1|1341&1|15181&1|9634&1
9667&1|19287&0|19893&0|7945&0|276&1|11196&1|14236&0|176&1|3955&0|7470&1;18403&0|9122&0|11093&0;9667&1|19287&0|19893&0|7945&0|276&1|11196&1|14236&0|176&1|3955&0|7470&1|18403&0|9122&0|11093&0
20734&0|20761&0|18470&0|17421&0|13187&0|2903&0|6760&0|8599&1|19639&0|20481&0;6595&0|8305&0|17710&0;20734&0|20761&0|18470&0|17421&0|13187&0|2903&0|6760&0|8599&1|19639&0|20481&0|6595&0|8305&0|17710&0
